schema_version,source,source_id,source_url,crawled_at,category,status,title,region,recruit_period_raw,recruit_start_date,recruit_end_date,is_evergreen,application_method,application_url,result_announcement_date_raw,result_confirmation,organization_name,manager_name,contact,view_count,tags_json,content_text,attachments_json,images_json,detail_accessible
1.0,jaripon,1986,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1986,2026-09-13T13:56:28+09:00,기타,모집종료,2026년 보호연장아동「자립캠프」추가모집(보호아동대상),전국,2026-07-23 ~ 2026-07-24,2026-07-23,2026-07-24,False,,,,,국가아동권리보장원,,,178,[],,[],[],False
1.0,jaripon,1991,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1991,2026-09-13T13:56:27+09:00,기타,모집종료,2026년 7월 자립역량강화교육 체험클래스,충남,2026-07-22 ~ 2026-07-31,2026-07-22,2026-07-31,False,,,,,충남아동자립지원전담기관,,,154,"[""청년 대상""]",,[],[],False
1.0,jaripon,1989,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1989,2026-09-13T13:56:27+09:00,기타,모집종료,"(전북)'어쩌다 만난 우리, 영화가 되다' 모집 안내",전북,2026-07-22 ~ 2026-07-29,2026-07-22,2026-07-29,False,,,,,전북특별자치도자립지원전담기관,,,154,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1984,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1984,2026-09-13T13:56:28+09:00,기타,모집종료,자립준비청년 대상 프로그램 「우리의 온기」,서울,2026-07-21 ~ 2026-08-09,2026-07-21,2026-08-09,False,,,,,강서구가족센터,,,434,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1979,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1979,2026-09-13T13:56:28+09:00,기타,모집종료,(전북) 7월 자조모임 '큐링' 진행 안내,전북,2026-07-15 ~ 2026-07-27,2026-07-15,2026-07-27,False,,,,,전북특별자치도자립지원전담기관,,,158,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1976,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1976,2026-09-13T13:56:29+09:00,기타,모집종료,2026년 보호연장아동 자립지원프로그램「자립캠프」 2차,전국,2026-07-13 ~ 2026-07-19,2026-07-13,2026-07-19,False,,,,,국가아동권리보장원,,,334,[],,[],[],False
1.0,jaripon,1974,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1974,2026-09-13T13:56:29+09:00,기타,모집종료,"[전북] '다(多)가치, JUMP!' 모집 안내",전북,2026-07-13 ~ 2026-07-30,2026-07-13,2026-07-30,False,,,,,전북특별자치도자립지원전담기관,,,223,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1969,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1969,2026-09-13T13:56:29+09:00,기타,모집종료,'JB희망의 학습멘토링 4기' 멘토 추가모집 안내,전북,2026-07-08 ~ 2026-07-15,2026-07-08,2026-07-15,False,,,,,전북특별자치도자립지원전담기관,,,243,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1965,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1965,2026-09-13T13:56:29+09:00,기타,모집종료,2026년 바람개비서포터즈 17기 추가모집 신청안내,전북,2026-07-06 ~ 2026-07-17,2026-07-06,2026-07-17,False,,,,,전북특별자치도자립지원전담기관,,,227,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1964,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1964,2026-09-13T13:56:29+09:00,기타,모집종료,2026년 청년 지원 사업,전국,2026-07-06 ~ 2026-07-22,2026-07-06,2026-07-22,False,,,,,KBS강태원복지재단,,,1813,"[""청년 대상""]",,[],[],False
1.0,jaripon,1967,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1967,2026-09-13T13:56:29+09:00,기타,모집종료,2026 유쾌한반란 구멍뒤주 6기 청소년 도전장학생,전국,2026-07-01 ~ 2026-07-19,2026-07-01,2026-07-19,False,,,,,유쾌한반란,,,826,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1951,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1951,2026-09-13T13:56:35+09:00,기타,모집종료,2026 하반기 보호연장아동 자립지원프로그램,전국,2026-07-01 ~ 2026-07-19,2026-07-01,2026-07-19,False,,,,,인천광역시자립지원전담기관,,,194,"[""보호연장아동""]",,[],[],False
1.0,jaripon,1950,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1950,2026-09-13T13:56:35+09:00,기타,모집종료,자기경영 프로젝트 '마이리얼라이프',전국,2026-07-01 ~ 2026-07-17,2026-07-01,2026-07-17,False,,,,,희망친구 기아대책,,,500,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1948,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1948,2026-09-13T13:56:35+09:00,기타,모집종료,"2026년 위기가정 지원사업 「위기의 순간, 신한과",전국,2026-07-01 ~ 2026-07-13,2026-07-01,2026-07-13,False,,,,,사회복지법인 굿네이버스,,,607,[],,[],[],False
1.0,jaripon,1947,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1947,2026-09-13T13:56:35+09:00,기타,모집종료,2026 천하제일 고민대회,충남,2026-06-30 ~ 2026-08-31,2026-06-30,2026-08-31,False,,,,,충남아동자립지원전담기관,,,182,[],,[],[],False
1.0,jaripon,1940,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1940,2026-09-13T13:56:35+09:00,기타,모집종료,2026년 보호연장아동 자립지원프로그램 「자립캠프」,전국,2026-06-29 ~ 2026-07-12,2026-06-29,2026-07-12,False,,,,,국가아동권리보장원,,,853,[],,[],[],False
