schema_version,source,source_id,source_url,crawled_at,category,status,title,region,recruit_period_raw,recruit_start_date,recruit_end_date,is_evergreen,application_method,application_url,result_announcement_date_raw,result_confirmation,organization_name,manager_name,contact,view_count,tags_json,content_text,attachments_json,images_json,detail_accessible
1.0,jaripon,1987,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1987,2026-09-13T13:56:28+09:00,진로,모집종료,2026년 제2회 인천교통공사 공무직 채용 공고,인천,2026-07-29 ~ 2026-08-12,2026-07-29,2026-08-12,False,,,,,인천교통공사,,,263,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1997,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1997,2026-09-13T13:56:27+09:00,진로,모집종료,*한국농수산식품유통공사 미래내일 일경험 청년인턴 모집*,전국,2026-07-28 ~ 2026-08-06,2026-07-28,2026-08-06,False,,,,,(사)ESG노동사회협회,,,257,"[""자립준비청년우대""]",,[],[],False
1.0,jaripon,2009,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=2009,2026-09-13T13:56:21+09:00,진로,모집종료,2026년 제2차 본사(지사) 기간제사원 채용,서울 외 (2),2026-07-27 ~ 2026-08-10,2026-07-27,2026-08-10,False,,,,,코레일테크,,,251,"[""자립준비청년 우대""]",,[],[],False
1.0,jaripon,1999,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1999,2026-09-13T13:56:27+09:00,진로,모집종료,기아대책 행복한나눔_호프온펠로우십 청년인턴 모집,서울,2026-07-27 ~ 2026-08-09,2026-07-27,2026-08-09,False,,,,,행복한나눔,,,382,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1990,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1990,2026-09-13T13:56:27+09:00,진로,모집종료,(전북)AI한바퀴 프로그램 'A.I Plus' 사업안내,전북,2026-07-22 ~ 2026-08-03,2026-07-22,2026-08-03,False,,,,,전북특별자치도자립지원전담기관,,,109,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1996,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1996,2026-09-13T13:56:27+09:00,진로,모집종료,부산·울산·경남 자립준비청년 대상 AI 활용 교육,부산 외 (2),2026-07-20 ~ 2026-08-14,2026-07-20,2026-08-14,False,,,,,(주)엘투플랜,,,71,[],,[],[],False
1.0,jaripon,1980,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1980,2026-09-13T13:56:28+09:00,진로,모집종료,한국콜마 장학금 지원 사업,전국,2026-07-20 ~ 2026-08-02,2026-07-20,2026-08-02,False,,,,,(주)소이프스튜디오,,,1298,[],,[],[],False
1.0,jaripon,1981,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1981,2026-09-13T13:56:28+09:00,진로,모집종료,한국사회보장정보원 2026년도 제3차 직원 채용공고,서울,2026-07-16 ~ 2026-07-30,2026-07-16,2026-07-30,False,,,,,한국사회보장정보원,,,236,"[""청년 대상,"", ""자립준비청년 우대""]",,[],[],False
1.0,jaripon,1985,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1985,2026-09-13T13:56:28+09:00,진로,모집종료,서울올림픽기념국민체육진흥공단 채용형 청년인턴 채용공고,전국,2026-07-14 ~ 2026-07-28,2026-07-14,2026-07-28,False,,,,,서울올림픽기념국민체육진흥공단,,,186,"[""자립준비청년 우대""]",,[],[],False
1.0,jaripon,1978,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1978,2026-09-13T13:56:28+09:00,진로,모집종료,<2026년 1차 내일탐험대 기업방문 : 공항철도(주),전국,2026-07-14 ~ 2026-07-22,2026-07-14,2026-07-22,False,,,,,한국고아사랑협회,,,354,"[""자립준비청년"", ""보호대상아동"", ""청소년보호시설""]",,[],[],False
